Sample Number (10000 samples per second),GAP (),LRERR (),OUTPUT (),LFTSPEED (),RGTSPEED ()
4857,123.0,-23.0,53.08,113.0,6.0
4858,131.0,-31.0,53.08,113.0,6.0
4859,141.0,-41.0,53.08,113.0,6.0
4860,148.0,-48.0,53.08,113.0,6.0
4861,154.0,-54.0,53.08,113.0,6.0
4862,160.0,-60.0,53.08,113.0,6.0
4863,162.0,-62.0,53.08,113.0,6.0
4864,161.0,-61.0,53.08,113.0,6.0
4865,167.0,-67.0,53.08,113.0,6.0
4866,165.0,-65.0,53.08,113.0,6.0
4867,167.0,-67.0,53.08,113.0,6.0
4868,164.0,-64.0,53.08,113.0,6.0
4869,165.0,-65.0,74.65,134.0,-14.0
4870,165.0,-65.0,74.65,134.0,-14.0
4871,164.0,-64.0,74.65,134.0,-14.0
4872,159.0,-59.0,74.65,134.0,-14.0
4873,153.0,-53.0,74.65,134.0,-14.0
4874,148.0,-48.0,74.65,134.0,-14.0
4875,140.0,-40.0,74.65,134.0,-14.0
4876,135.0,-35.0,74.65,134.0,-14.0
4877,129.0,-29.0,74.65,134.0,-14.0
4878,123.0,-23.0,74.65,134.0,-14.0
4879,115.0,-15.0,74.65,134.0,-14.0
4880,113.0,-13.0,74.65,134.0,-14.0
4881,102.0,-2.0,74.65,134.0,-14.0
4882,97.0,3.0,74.65,-14.0,134.0
4883,88.0,12.0,74.65,-14.0,134.0
4884,78.0,22.0,74.65,-14.0,134.0
4885,72.0,28.0,74.65,-14.0,134.0
4886,59.0,41.0,74.65,-14.0,134.0
4887,51.0,49.0,74.65,-14.0,134.0
4888,41.0,59.0,74.65,-14.0,134.0
4889,35.0,65.0,74.65,-14.0,134.0
4890,31.0,69.0,74.65,-14.0,134.0
4891,27.0,73.0,74.65,-14.0,134.0
4892,27.0,73.0,74.65,-14.0,134.0
4893,25.0,75.0,47.72,12.0,107.0
4894,22.0,78.0,47.72,12.0,107.0
4895,27.0,73.0,47.72,12.0,107.0
4896,28.0,72.0,47.72,12.0,107.0
4897,35.0,65.0,47.72,12.0,107.0
4898,36.0,64.0,47.72,12.0,107.0
4899,38.0,62.0,47.72,12.0,107.0
4900,43.0,57.0,47.72,12.0,107.0
4901,46.0,54.0,47.72,12.0,107.0
4902,50.0,50.0,47.72,12.0,107.0
4903,52.0,48.0,47.72,12.0,107.0
4904,60.0,40.0,47.72,12.0,107.0
4905,62.0,38.0,47.72,12.0,107.0
4906,67.0,33.0,47.72,12.0,107.0
4907,73.0,27.0,47.72,12.0,107.0
4908,82.0,18.0,47.72,12.0,107.0
4909,87.0,13.0,47.72,12.0,107.0
4910,93.0,7.0,47.72,12.0,107.0
4911,102.0,-2.0,47.72,107.0,12.0
4912,109.0,-9.0,47.72,107.0,12.0
4913,115.0,-15.0,47.72,107.0,12.0
4914,124.0,-24.0,47.72,107.0,12.0
4915,137.0,-37.0,47.72,107.0,12.0
4916,146.0,-46.0,47.72,107.0,12.0
4917,152.0,-52.0,47.72,107.0,12.0
4918,161.0,-61.0,77.08,137.0,-17.0
4919,171.0,-71.0,77.08,137.0,-17.0
4920,173.0,-73.0,77.08,137.0,-17.0
4921,181.0,-81.0,77.08,137.0,-17.0
4922,184.0,-84.0,77.08,137.0,-17.0
4923,187.0,-87.0,77.08,137.0,-17.0
4924,184.0,-84.0,77.08,137.0,-17.0
4925,190.0,-90.0,77.08,137.0,-17.0
4926,188.0,-88.0,77.08,137.0,-17.0
4927,186.0,-86.0,77.08,137.0,-17.0
4928,187.0,-87.0,77.08,137.0,-17.0
4929,182.0,-82.0,77.08,137.0,-17.0
4930,178.0,-78.0,77.08,137.0,-17.0
4931,177.0,-77.0,77.08,137.0,-17.0
4932,171.0,-71.0,77.08,137.0,-17.0
4933,163.0,-63.0,77.08,137.0,-17.0
4934,155.0,-55.0,77.08,137.0,-17.0
4935,148.0,-48.0,77.08,137.0,-17.0
4936,136.0,-36.0,77.08,137.0,-17.0
4937,124.0,-24.0,77.08,137.0,-17.0
4938,117.0,-17.0,77.08,137.0,-17.0
4939,102.0,-2.0,77.08,137.0,-17.0
4940,88.0,12.0,77.08,-17.0,137.0
4941,83.0,17.0,55.11,4.0,115.0
4942,66.0,34.0,55.11,4.0,115.0
4943,54.0,46.0,55.11,4.0,115.0
4944,46.0,54.0,55.11,4.0,115.0
4945,37.0,63.0,55.11,4.0,115.0
4946,33.0,67.0,55.11,4.0,115.0
4947,32.0,68.0,55.11,4.0,115.0
4948,32.0,68.0,55.11,4.0,115.0
4949,32.0,68.0,55.11,4.0,115.0
4950,37.0,63.0,55.11,4.0,115.0
4951,39.0,61.0,55.11,4.0,115.0
4952,50.0,50.0,55.11,4.0,115.0
4953,58.0,42.0,55.11,4.0,115.0
4954,57.0,43.0,55.11,4.0,115.0
4955,65.0,35.0,55.11,4.0,115.0
4956,69.0,31.0,55.11,4.0,115.0
4957,76.0,24.0,55.11,4.0,115.0
4958,79.0,21.0,55.11,4.0,115.0
4959,87.0,13.0,55.11,4.0,115.0
4960,94.0,6.0,55.11,4.0,115.0
4961,102.0,-2.0,55.11,115.0,4.0
4962,108.0,-8.0,55.11,115.0,4.0
4963,113.0,-13.0,55.11,115.0,4.0
4964,125.0,-25.0,55.11,115.0,4.0
4965,133.0,-33.0,55.11,115.0,4.0
4966,140.0,-40.0,55.11,115.0,4.0
4967,148.0,-48.0,55.11,115.0,4.0
4968,157.0,-57.0,71.44,131.0,-11.0
4969,167.0,-67.0,71.44,131.0,-11.0
4970,173.0,-73.0,71.44,131.0,-11.0
4971,176.0,-76.0,71.44,131.0,-11.0
4972,178.0,-78.0,71.44,131.0,-11.0
4973,179.0,-79.0,71.44,131.0,-11.0
4974,180.0,-80.0,71.44,131.0,-11.0
4975,180.0,-80.0,71.44,131.0,-11.0
4976,178.0,-78.0,71.44,131.0,-11.0
4977,183.0,-83.0,71.44,131.0,-11.0
4978,182.0,-82.0,71.44,131.0,-11.0
4979,180.0,-80.0,71.44,131.0,-11.0
4980,178.0,-78.0,71.44,131.0,-11.0
4981,173.0,-73.0,71.44,131.0,-11.0
4982,170.0,-70.0,71.44,131.0,-11.0
4983,166.0,-66.0,71.44,131.0,-11.0
4984,166.0,-66.0,71.44,131.0,-11.0
4985,162.0,-62.0,71.44,131.0,-11.0
4986,155.0,-55.0,71.44,131.0,-11.0
4987,147.0,-47.0,71.44,131.0,-11.0
4988,141.0,-41.0,71.44,131.0,-11.0
4989,134.0,-34.0,71.44,131.0,-11.0
4990,126.0,-26.0,71.44,131.0,-11.0
4991,122.0,-22.0,60.49,120.0,0.0
4992,113.0,-13.0,60.49,120.0,0.0
4993,107.0,-7.0,60.49,120.0,0.0
4994,101.0,-1.0,60.49,120.0,0.0
4995,96.0,4.0,60.49,0.0,120.0
4996,89.0,11.0,60.49,0.0,120.0
4997,80.0,20.0,60.49,0.0,120.0
4998,75.0,25.0,60.49,0.0,120.0
4999,67.0,33.0,60.49,0.0,120.0
5000,62.0,38.0,60.49,0.0,120.0
5001,52.0,48.0,60.49,0.0,120.0
5002,52.0,48.0,60.49,0.0,120.0
5003,45.0,55.0,60.49,0.0,120.0
5004,43.0,57.0,60.49,0.0,120.0
5005,43.0,57.0,60.49,0.0,120.0
5006,38.0,62.0,60.49,0.0,120.0
5007,43.0,57.0,60.49,0.0,120.0
5008,44.0,56.0,60.49,0.0,120.0
5009,49.0,51.0,60.49,0.0,120.0
5010,54.0,46.0,60.49,0.0,120.0
5011,63.0,37.0,60.49,0.0,120.0
5012,76.0,24.0,60.49,0.0,120.0
5013,82.0,18.0,60.49,0.0,120.0
5014,93.0,7.0,60.49,0.0,120.0
5015,101.0,-1.0,60.49,120.0,0.0
5016,112.0,-12.0,60.49,120.0,0.0
5017,122.0,-22.0,60.49,120.0,0.0
5018,130.0,-30.0,65.2,125.0,-5.0
5019,141.0,-41.0,65.2,125.0,-5.0
5020,151.0,-51.0,65.2,125.0,-5.0
5021,161.0,-61.0,65.2,125.0,-5.0
5022,171.0,-71.0,65.2,125.0,-5.0
5023,178.0,-78.0,65.2,125.0,-5.0
5024,187.0,-87.0,65.2,125.0,-5.0
5025,191.0,-91.0,65.2,125.0,-5.0
5026,196.0,-96.0,65.2,125.0,-5.0
5027,200.0,-100.0,65.2,125.0,-5.0
5028,206.0,-106.0,65.2,125.0,-5.0
5029,208.0,-108.0,65.2,125.0,-5.0
5030,209.0,-109.0,65.2,125.0,-5.0
5031,205.0,-105.0,65.2,125.0,-5.0
5032,205.0,-105.0,65.2,125.0,-5.0
5033,205.0,-105.0,65.2,125.0,-5.0
5034,205.0,-105.0,65.2,125.0,-5.0
5035,209.0,-109.0,65.2,125.0,-5.0
5036,208.0,-108.0,65.2,125.0,-5.0
5037,207.0,-107.0,65.2,125.0,-5.0
5038,208.0,-108.0,65.2,125.0,-5.0
5039,207.0,-107.0,65.2,125.0,-5.0
5040,201.0,-101.0,65.2,125.0,-5.0
5041,199.0,-99.0,72.49,132.0,-12.0
5042,198.0,-98.0,72.49,132.0,-12.0
5043,197.0,-97.0,72.49,132.0,-12.0
5044,200.0,-100.0,72.49,132.0,-12.0
5045,194.0,-94.0,72.49,132.0,-12.0
5046,192.0,-92.0,72.49,132.0,-12.0
5047,185.0,-85.0,72.49,132.0,-12.0
5048,181.0,-81.0,72.49,132.0,-12.0
5049,175.0,-75.0,72.49,132.0,-12.0
5050,169.0,-69.0,72.49,132.0,-12.0
5051,169.0,-69.0,72.49,132.0,-12.0
5052,170.0,-70.0,72.49,132.0,-12.0
5053,165.0,-65.0,72.49,132.0,-12.0
5054,165.0,-65.0,72.49,132.0,-12.0
5055,160.0,-60.0,72.49,132.0,-12.0
5056,156.0,-56.0,72.49,132.0,-12.0
5057,153.0,-53.0,72.49,132.0,-12.0
5058,154.0,-54.0,72.49,132.0,-12.0
5059,148.0,-48.0,72.49,132.0,-12.0
5060,142.0,-42.0,72.49,132.0,-12.0
5061,138.0,-38.0,72.49,132.0,-12.0
5062,134.0,-34.0,72.49,132.0,-12.0
5063,124.0,-24.0,72.49,132.0,-12.0
5064,119.0,-19.0,57.08,117.0,2.0
5065,116.0,-16.0,57.08,117.0,2.0
5066,111.0,-11.0,57.08,117.0,2.0
5067,104.0,-4.0,57.08,117.0,2.0
5068,97.0,3.0,57.08,2.0,117.0
5069,91.0,9.0,57.08,2.0,117.0
5070,83.0,17.0,57.08,2.0,117.0
5071,80.0,20.0,57.08,2.0,117.0
5072,75.0,25.0,57.08,2.0,117.0
5073,71.0,29.0,57.08,2.0,117.0
5074,64.0,36.0,57.08,2.0,117.0
5075,65.0,35.0,57.08,2.0,117.0
5076,62.0,38.0,57.08,2.0,117.0
5077,64.0,36.0,57.08,2.0,117.0
5078,62.0,38.0,57.08,2.0,117.0
5079,68.0,32.0,57.08,2.0,117.0
5080,69.0,31.0,57.08,2.0,117.0
5081,80.0,20.0,57.08,2.0,117.0
5082,87.0,13.0,57.08,2.0,117.0
5083,99.0,1.0,57.08,2.0,117.0
5084,107.0,-7.0,57.08,117.0,2.0
5085,116.0,-16.0,57.08,117.0,2.0
5086,129.0,-29.0,57.08,117.0,2.0
5087,141.0,-41.0,57.08,117.0,2.0
5088,154.0,-54.0,57.08,117.0,2.0
5089,165.0,-65.0,57.08,117.0,2.0
5090,176.0,-76.0,57.08,117.0,2.0
5091,187.0,-87.0,73.03,133.0,-13.0
5092,196.0,-96.0,73.03,133.0,-13.0
5093,205.0,-105.0,73.03,133.0,-13.0
5094,216.0,-116.0,73.03,133.0,-13.0
5095,222.0,-122.0,73.03,133.0,-13.0
5096,229.0,-129.0,73.03,133.0,-13.0
5097,232.0,-132.0,73.03,133.0,-13.0
5098,236.0,-136.0,73.03,133.0,-13.0
5099,231.0,-131.0,73.03,133.0,-13.0
5100,231.0,-131.0,73.03,133.0,-13.0
5101,230.0,-130.0,73.03,133.0,-13.0
5102,230.0,-130.0,73.03,133.0,-13.0
5103,231.0,-131.0,73.03,133.0,-13.0
5104,228.0,-128.0,73.03,133.0,-13.0
5105,229.0,-129.0,73.03,133.0,-13.0
5106,229.0,-129.0,73.03,133.0,-13.0
5107,233.0,-133.0,73.03,133.0,-13.0
5108,232.0,-132.0,73.03,133.0,-13.0
5109,230.0,-130.0,73.03,133.0,-13.0
5110,231.0,-131.0,73.03,133.0,-13.0
5111,234.0,-134.0,73.03,133.0,-13.0
5112,232.0,-132.0,73.03,133.0,-13.0
5113,233.0,-133.0,71.87,131.0,-11.0
5114,229.0,-129.0,71.87,131.0,-11.0
5115,228.0,-128.0,71.87,131.0,-11.0
5116,229.0,-129.0,71.87,131.0,-11.0
5117,231.0,-131.0,71.87,131.0,-11.0
5118,229.0,-129.0,71.87,131.0,-11.0
5119,233.0,-133.0,71.87,131.0,-11.0
5120,229.0,-129.0,71.87,131.0,-11.0
5121,230.0,-130.0,71.87,131.0,-11.0
5122,225.0,-125.0,71.87,131.0,-11.0
5123,227.0,-127.0,71.87,131.0,-11.0
5124,221.0,-121.0,71.87,131.0,-11.0
5125,219.0,-119.0,71.87,131.0,-11.0
5126,217.0,-117.0,71.87,131.0,-11.0
5127,213.0,-113.0,71.87,131.0,-11.0
5128,207.0,-107.0,71.87,131.0,-11.0
5129,204.0,-104.0,71.87,131.0,-11.0
5130,197.0,-97.0,71.87,131.0,-11.0
5131,191.0,-91.0,71.87,131.0,-11.0
5132,179.0,-79.0,71.87,131.0,-11.0
5133,165.0,-65.0,71.87,131.0,-11.0
5134,158.0,-58.0,71.87,131.0,-11.0
5135,145.0,-45.0,57.96,117.0,2.0
5136,135.0,-35.0,57.96,117.0,2.0
5137,130.0,-30.0,57.96,117.0,2.0
5138,123.0,-23.0,57.96,117.0,2.0
5139,118.0,-18.0,57.96,117.0,2.0
5140,113.0,-13.0,57.96,117.0,2.0
5141,107.0,-7.0,57.96,117.0,2.0
5142,102.0,-2.0,57.96,117.0,2.0
5143,90.0,10.0,57.96,2.0,117.0
5144,91.0,9.0,57.96,2.0,117.0
5145,86.0,14.0,57.96,2.0,117.0
5146,82.0,18.0,57.96,2.0,117.0
5147,78.0,22.0,57.96,2.0,117.0
5148,72.0,28.0,57.96,2.0,117.0
5149,67.0,33.0,57.96,2.0,117.0
5150,70.0,30.0,57.96,2.0,117.0
5151,62.0,38.0,57.96,2.0,117.0
5152,61.0,39.0,57.96,2.0,117.0
5153,63.0,37.0,57.96,2.0,117.0
5154,61.0,39.0,57.96,2.0,117.0
5155,64.0,36.0,57.96,2.0,117.0
5156,73.0,27.0,57.96,2.0,117.0
5157,77.0,23.0,57.96,2.0,117.0
5158,81.0,19.0,57.96,2.0,117.0
5159,88.0,12.0,57.96,2.0,117.0
5160,97.0,3.0,57.96,2.0,117.0
5161,101.0,-1.0,57.96,117.0,2.0
5162,112.0,-12.0,63.41,123.0,-3.0
5163,123.0,-23.0,63.41,123.0,-3.0
5164,130.0,-30.0,63.41,123.0,-3.0
5165,144.0,-44.0,63.41,123.0,-3.0
5166,156.0,-56.0,63.41,123.0,-3.0
5167,173.0,-73.0,63.41,123.0,-3.0
5168,178.0,-78.0,63.41,123.0,-3.0
5169,193.0,-93.0,63.41,123.0,-3.0
5170,197.0,-97.0,63.41,123.0,-3.0
5171,199.0,-99.0,63.41,123.0,-3.0
5172,203.0,-103.0,63.41,123.0,-3.0
5173,207.0,-107.0,63.41,123.0,-3.0
5174,212.0,-112.0,63.41,123.0,-3.0
5175,208.0,-108.0,63.41,123.0,-3.0
5176,211.0,-111.0,63.41,123.0,-3.0
5177,210.0,-110.0,63.41,123.0,-3.0
5178,215.0,-115.0,63.41,123.0,-3.0
5179,214.0,-114.0,63.41,123.0,-3.0
5180,215.0,-115.0,63.41,123.0,-3.0
5181,214.0,-114.0,63.41,123.0,-3.0
5182,214.0,-114.0,63.41,123.0,-3.0
5183,210.0,-110.0,63.41,123.0,-3.0
5184,211.0,-111.0,63.41,123.0,-3.0
5185,202.0,-102.0,77.11,137.0,-17.0
5186,202.0,-102.0,77.11,137.0,-17.0
5187,197.0,-97.0,77.11,137.0,-17.0
5188,195.0,-95.0,77.11,137.0,-17.0
5189,192.0,-92.0,77.11,137.0,-17.0
5190,184.0,-84.0,77.11,137.0,-17.0
5191,185.0,-85.0,77.11,137.0,-17.0
5192,181.0,-81.0,77.11,137.0,-17.0
5193,176.0,-76.0,77.11,137.0,-17.0
5194,172.0,-72.0,77.11,137.0,-17.0
5195,164.0,-64.0,77.11,137.0,-17.0
5196,158.0,-58.0,77.11,137.0,-17.0
5197,146.0,-46.0,77.11,137.0,-17.0
5198,143.0,-43.0,77.11,137.0,-17.0
5199,135.0,-35.0,77.11,137.0,-17.0
5200,128.0,-28.0,77.11,137.0,-17.0
5201,119.0,-19.0,77.11,137.0,-17.0
5202,112.0,-12.0,77.11,137.0,-17.0
5203,107.0,-7.0,77.11,137.0,-17.0
5204,98.0,2.0,77.11,-17.0,137.0
5205,95.0,5.0,77.11,-17.0,137.0
5206,91.0,9.0,77.11,-17.0,137.0
5207,90.0,10.0,77.11,-17.0,137.0
5208,87.0,13.0,77.11,-17.0,137.0
5209,81.0,19.0,55.0,4.0,115.0
5210,76.0,24.0,55.0,4.0,115.0
5211,75.0,25.0,55.0,4.0,115.0
5212,75.0,25.0,55.0,4.0,115.0
5213,75.0,25.0,55.0,4.0,115.0
5214,80.0,20.0,55.0,4.0,115.0
5215,84.0,16.0,55.0,4.0,115.0
5216,88.0,12.0,55.0,4.0,115.0
5217,97.0,3.0,55.0,4.0,115.0
5218,103.0,-3.0,55.0,115.0,4.0
5219,111.0,-11.0,55.0,115.0,4.0
5220,119.0,-19.0,55.0,115.0,4.0
5221,127.0,-27.0,55.0,115.0,4.0
5222,137.0,-37.0,55.0,115.0,4.0
5223,153.0,-53.0,55.0,115.0,4.0
5224,165.0,-65.0,55.0,115.0,4.0
5225,178.0,-78.0,55.0,115.0,4.0
5226,191.0,-91.0,55.0,115.0,4.0
5227,202.0,-102.0,55.0,115.0,4.0
5228,208.0,-108.0,55.0,115.0,4.0
5229,218.0,-118.0,55.0,115.0,4.0
5230,221.0,-121.0,55.0,115.0,4.0
5231,225.0,-125.0,55.0,115.0,4.0
5232,231.0,-131.0,55.0,115.0,4.0
5233,233.0,-133.0,55.0,115.0,4.0
5234,236.0,-136.0,84.74,144.0,-24.0
5235,243.0,-143.0,84.74,144.0,-24.0
5236,241.0,-141.0,84.74,144.0,-24.0
5237,247.0,-147.0,84.74,144.0,-24.0
5238,246.0,-146.0,84.74,144.0,-24.0
5239,248.0,-148.0,84.74,144.0,-24.0
5240,244.0,-144.0,84.74,144.0,-24.0
5241,246.0,-146.0,84.74,144.0,-24.0
5242,243.0,-143.0,84.74,144.0,-24.0
5243,246.0,-146.0,84.74,144.0,-24.0
5244,250.0,-150.0,84.74,144.0,-24.0
5245,250.0,-150.0,84.74,144.0,-24.0
5246,250.0,-150.0,84.74,144.0,-24.0
5247,253.0,-153.0,84.74,144.0,-24.0
5248,253.0,-153.0,84.74,144.0,-24.0
5249,257.0,-157.0,84.74,144.0,-24.0
5250,255.0,-155.0,84.74,144.0,-24.0
5251,256.0,-156.0,84.74,144.0,-24.0
5252,255.0,-155.0,84.74,144.0,-24.0
5253,253.0,-153.0,84.74,144.0,-24.0
5254,249.0,-149.0,84.74,144.0,-24.0
5255,253.0,-153.0,84.74,144.0,-24.0
5256,251.0,-151.0,71.52,131.0,-11.0
5257,253.0,-153.0,71.52,131.0,-11.0
5258,251.0,-151.0,71.52,131.0,-11.0
5259,251.0,-151.0,71.52,131.0,-11.0
5260,246.0,-146.0,71.52,131.0,-11.0
5261,246.0,-146.0,71.52,131.0,-11.0
5262,247.0,-147.0,71.52,131.0,-11.0
5263,249.0,-149.0,71.52,131.0,-11.0
5264,247.0,-147.0,71.52,131.0,-11.0
5265,243.0,-143.0,71.52,131.0,-11.0
5266,246.0,-146.0,71.52,131.0,-11.0
5267,245.0,-145.0,71.52,131.0,-11.0
5268,243.0,-143.0,71.52,131.0,-11.0
5269,244.0,-144.0,71.52,131.0,-11.0
5270,244.0,-144.0,71.52,131.0,-11.0
5271,244.0,-144.0,71.52,131.0,-11.0
5272,242.0,-142.0,71.52,131.0,-11.0
5273,243.0,-143.0,71.52,131.0,-11.0
5274,241.0,-141.0,71.52,131.0,-11.0
5275,242.0,-142.0,71.52,131.0,-11.0
5276,238.0,-138.0,71.52,131.0,-11.0
5277,240.0,-140.0,71.52,131.0,-11.0
5278,238.0,-138.0,69.19,129.0,-9.0
5279,238.0,-138.0,69.19,129.0,-9.0
5280,235.0,-135.0,69.19,129.0,-9.0
5281,233.0,-133.0,69.19,129.0,-9.0
5282,230.0,-130.0,69.19,129.0,-9.0
5283,223.0,-123.0,69.19,129.0,-9.0
5284,217.0,-117.0,69.19,129.0,-9.0
5285,209.0,-109.0,69.19,129.0,-9.0
5286,205.0,-105.0,69.19,129.0,-9.0
5287,199.0,-99.0,69.19,129.0,-9.0
5288,191.0,-91.0,69.19,129.0,-9.0
5289,188.0,-88.0,69.19,129.0,-9.0
5290,180.0,-80.0,69.19,129.0,-9.0
5291,174.0,-74.0,69.19,129.0,-9.0
5292,167.0,-67.0,69.19,129.0,-9.0
5293,161.0,-61.0,69.19,129.0,-9.0
5294,150.0,-50.0,69.19,129.0,-9.0
5295,139.0,-39.0,69.19,129.0,-9.0
5296,135.0,-35.0,69.19,129.0,-9.0
5297,129.0,-29.0,69.19,129.0,-9.0
5298,119.0,-19.0,69.19,129.0,-9.0
5299,105.0,-5.0,69.19,129.0,-9.0
5300,95.0,5.0,69.19,-9.0,129.0
5301,89.0,11.0,69.19,-9.0,129.0
5302,79.0,21.0,53.19,6.0,113.0
5303,72.0,28.0,53.19,6.0,113.0
5304,67.0,33.0,53.19,6.0,113.0
5305,64.0,36.0,53.19,6.0,113.0
5306,58.0,42.0,53.19,6.0,113.0
5307,55.0,45.0,53.19,6.0,113.0
5308,52.0,48.0,53.19,6.0,113.0
5309,53.0,47.0,53.19,6.0,113.0
5310,53.0,47.0,53.19,6.0,113.0
5311,59.0,41.0,53.19,6.0,113.0
5312,67.0,33.0,53.19,6.0,113.0
5313,76.0,24.0,53.19,6.0,113.0
5314,85.0,15.0,53.19,6.0,113.0
5315,94.0,6.0,53.19,6.0,113.0
5316,103.0,-3.0,53.19,113.0,6.0
5317,118.0,-18.0,53.19,113.0,6.0
5318,131.0,-31.0,53.19,113.0,6.0
5319,145.0,-45.0,53.19,113.0,6.0
5320,160.0,-60.0,53.19,113.0,6.0
5321,182.0,-82.0,53.19,113.0,6.0
5322,192.0,-92.0,53.19,113.0,6.0
5323,205.0,-105.0,53.19,113.0,6.0
5324,221.0,-121.0,53.19,113.0,6.0
5325,231.0,-131.0,53.19,113.0,6.0
5326,236.0,-136.0,53.19,113.0,6.0
5327,237.0,-137.0,53.19,113.0,6.0
5328,240.0,-140.0,87.4,147.0,-27.0
5329,248.0,-148.0,87.4,147.0,-27.0
5330,250.0,-150.0,87.4,147.0,-27.0
5331,250.0,-150.0,87.4,147.0,-27.0
5332,254.0,-154.0,87.4,147.0,-27.0
5333,249.0,-149.0,87.4,147.0,-27.0
5334,250.0,-150.0,87.4,147.0,-27.0
5335,252.0,-152.0,87.4,147.0,-27.0
5336,248.0,-148.0,87.4,147.0,-27.0
5337,248.0,-148.0,87.4,147.0,-27.0
5338,245.0,-145.0,87.4,147.0,-27.0
5339,249.0,-149.0,87.4,147.0,-27.0
5340,242.0,-142.0,87.4,147.0,-27.0
5341,241.0,-141.0,87.4,147.0,-27.0
5342,238.0,-138.0,87.4,147.0,-27.0
5343,231.0,-131.0,87.4,147.0,-27.0
5344,229.0,-129.0,87.4,147.0,-27.0
5345,226.0,-126.0,87.4,147.0,-27.0
5346,217.0,-117.0,87.4,147.0,-27.0
5347,207.0,-107.0,87.4,147.0,-27.0
5348,202.0,-102.0,87.4,147.0,-27.0
5349,199.0,-99.0,87.4,147.0,-27.0
5350,189.0,-89.0,66.17,126.0,-6.0
5351,183.0,-83.0,66.17,126.0,-6.0
5352,176.0,-76.0,66.17,126.0,-6.0
5353,169.0,-69.0,66.17,126.0,-6.0
5354,156.0,-56.0,66.17,126.0,-6.0
5355,148.0,-48.0,66.17,126.0,-6.0
5356,137.0,-37.0,66.17,126.0,-6.0
5357,128.0,-28.0,66.17,126.0,-6.0
5358,118.0,-18.0,66.17,126.0,-6.0
5359,113.0,-13.0,66.17,126.0,-6.0
5360,96.0,4.0,66.17,-6.0,126.0
5361,92.0,8.0,66.17,-6.0,126.0
5362,86.0,14.0,66.17,-6.0,126.0
5363,74.0,26.0,66.17,-6.0,126.0
5364,67.0,33.0,66.17,-6.0,126.0
5365,64.0,36.0,66.17,-6.0,126.0
5366,58.0,42.0,66.17,-6.0,126.0
5367,54.0,46.0,66.17,-6.0,126.0
5368,52.0,48.0,66.17,-6.0,126.0
5369,42.0,58.0,66.17,-6.0,126.0
5370,39.0,61.0,66.17,-6.0,126.0
5371,35.0,65.0,66.17,-6.0,126.0
5372,39.0,61.0,66.17,-6.0,126.0
5373,46.0,54.0,66.17,-6.0,126.0
5374,47.0,53.0,66.17,-6.0,126.0
5375,59.0,41.0,57.11,2.0,117.0
5376,60.0,40.0,57.11,2.0,117.0
5377,68.0,32.0,57.11,2.0,117.0
5378,74.0,26.0,57.11,2.0,117.0
5379,85.0,15.0,57.11,2.0,117.0
5380,93.0,7.0,57.11,2.0,117.0
5381,105.0,-5.0,57.11,117.0,2.0
5382,115.0,-15.0,57.11,117.0,2.0
5383,127.0,-27.0,57.11,117.0,2.0
5384,139.0,-39.0,57.11,117.0,2.0
5385,149.0,-49.0,57.11,117.0,2.0
5386,156.0,-56.0,57.11,117.0,2.0
5387,171.0,-71.0,57.11,117.0,2.0
5388,179.0,-79.0,57.11,117.0,2.0
5389,186.0,-86.0,57.11,117.0,2.0
5390,190.0,-90.0,57.11,117.0,2.0
5391,188.0,-88.0,57.11,117.0,2.0
5392,186.0,-86.0,57.11,117.0,2.0
5393,188.0,-88.0,57.11,117.0,2.0
5394,192.0,-92.0,57.11,117.0,2.0
5395,196.0,-96.0,57.11,117.0,2.0
5396,193.0,-93.0,57.11,117.0,2.0
5397,200.0,-100.0,57.11,117.0,2.0
5398,197.0,-97.0,57.11,117.0,2.0
5399,207.0,-107.0,57.11,117.0,2.0
5400,201.0,-101.0,86.24,146.0,-26.0
5401,199.0,-99.0,86.24,146.0,-26.0
5402,197.0,-97.0,86.24,146.0,-26.0
5403,198.0,-98.0,86.24,146.0,-26.0
5404,191.0,-91.0,86.24,146.0,-26.0
5405,186.0,-86.0,86.24,146.0,-26.0
5406,181.0,-81.0,86.24,146.0,-26.0
5407,175.0,-75.0,86.24,146.0,-26.0
5408,169.0,-69.0,86.24,146.0,-26.0
5409,166.0,-66.0,86.24,146.0,-26.0
5410,158.0,-58.0,86.24,146.0,-26.0
5411,147.0,-47.0,86.24,146.0,-26.0
5412,135.0,-35.0,86.24,146.0,-26.0
5413,122.0,-22.0,86.24,146.0,-26.0
5414,113.0,-13.0,86.24,146.0,-26.0
5415,103.0,-3.0,86.24,146.0,-26.0
5416,93.0,7.0,86.24,-26.0,146.0
5417,85.0,15.0,86.24,-26.0,146.0
5418,76.0,24.0,86.24,-26.0,146.0
5419,70.0,30.0,86.24,-26.0,146.0
5420,69.0,31.0,86.24,-26.0,146.0
5421,57.0,43.0,86.24,-26.0,146.0
5422,54.0,46.0,86.24,-26.0,146.0
5423,50.0,50.0,55.55,4.0,115.0
5424,48.0,52.0,55.55,4.0,115.0
5425,49.0,51.0,55.55,4.0,115.0
5426,52.0,48.0,55.55,4.0,115.0
5427,49.0,51.0,55.55,4.0,115.0
5428,53.0,47.0,55.55,4.0,115.0
5429,53.0,47.0,55.55,4.0,115.0
